NIBRS Code Name,Report Date,Location,Victim Count,Crime Against,Was a firearm involved?,Longitude,Latitude,Severity Score
Motor Vehicle Theft,10/11/2023 6:37:30 AM,630 10TH ST NW,1.0,PROPERTY,N,-84.408037,33.781415,0.2331
Shoplifting,10/11/2023 6:45:19 AM,855 PEACHTREE ST NE,0.0,PROPERTY,N,-84.38389,33.777985,0.1332
Destruction/Damage/Vandalism of Property,10/11/2023 6:55:59 AM,1314 DONALD LEE HOLLOWELL PKWY NW,1.0,PROPERTY,N,-84.430978,33.771519,0.1665
Destruction/Damage/Vandalism of Property,10/11/2023 7:00:17 AM,592 MORROW LN SW,1.0,PROPERTY,N,-84.502304,33.742384,0.1665
Drug/Narcotic Violations,10/11/2023 7:41:24 AM,SYLVAN RD SW / WOODBOURNE DR SW,0.0,SOCIETY,N,-84.418173,33.710122,0.1665
Stolen Property Offenses,10/11/2023 7:57:09 AM,6000 S TERMINAL PKWY,1.0,PROPERTY,N,-84.443025,33.64004,0.1332
All Other Larceny,10/11/2023 7:57:09 AM,6000 S TERMINAL PKWY,1.0,PROPERTY,N,-84.443025,33.64004,0.1665
Destruction/Damage/Vandalism of Property,10/11/2023 8:01:13 AM,CONE ST NW / LUCKIE ST NW,1.0,PROPERTY,N,-84.390118,33.757854,0.1665
Aggravated Assault,10/11/2023 8:05:09 AM,1939 SHIRLEY ST SW,1.0,PERSON,N,-84.45092,33.732506,0.2664
Theft From Building,10/11/2023 8:13:02 AM,2965 PEACHTREE RD NE,1.0,PROPERTY,N,-84.381266,33.836057,0.1332
Theft From Motor Vehicle,10/11/2023 8:18:59 AM,2040 LOIS PL NW,8.0,PROPERTY,N,-84.454615,33.784249,0.0999
Motor Vehicle Theft,10/11/2023 8:31:29 AM,665 TARRAGON WAY SW,1.0,PROPERTY,N,-84.523944,33.750309,0.2331
Theft From Motor Vehicle,10/11/2023 9:16:51 AM,CAIRO ST NW & PROCTOR ST NW,1.0,PROPERTY,N,-84.41959,33.76499,0.0999
Motor Vehicle Theft,10/11/2023 9:20:37 AM,1750 COMMERCE DR NW,1.0,PROPERTY,N,-84.411849,33.803246,0.2331
Destruction/Damage/Vandalism of Property,10/11/2023 9:35:50 AM,256 ROSSER ST SW,1.0,PROPERTY,N,-84.424222,33.747713,0.1665
Motor Vehicle Theft,10/11/2023 9:40:40 AM,2866 HEDGEWOOD DR NW,1.0,PROPERTY,N,-84.481693,33.757524,0.2331
Drug Equipment Violations,10/11/2023 10:42:05 AM,215 FORSYTH ST SW,0.0,SOCIETY,N,-84.396802,33.748925,0.0666
Theft From Motor Vehicle,10/11/2023 11:56:42 AM,1815 DODSON DR SW,1.0,PROPERTY,N,-84.477155,33.705804,0.0999
Theft From Motor Vehicle,10/11/2023 12:34:20 PM,3974 BOULDER PARK DR SW,1.0,PROPERTY,N,-84.517747,33.746879,0.0999
All Other Larceny,10/11/2023 12:39:10 PM,6000 N TERMINAL PKWY,1.0,PROPERTY,N,-84.444368,33.640311,0.1665
Impersonation,10/11/2023 12:42:03 PM,3005 PEACHTREE RD NE,1.0,PROPERTY,N,-84.381152,33.836839,0.1332
False Pretenses/Swindle/Confidence Game,10/11/2023 1:02:03 PM,2167 BOLTON DR NW,1.0,PROPERTY,N,-84.440464,33.816492,0.1998
Wire Fraud,10/11/2023 1:16:13 PM,3372 PEACHTREE RD NE,0.0,PROPERTY,N,-84.367013,33.848614,0.1665
Simple Assault,10/11/2023 1:19:15 PM,1080 W PEACHTREE ST NW,1.0,PERSON,N,-84.388169,33.784703,0.1332
Motor Vehicle Theft,10/11/2023 1:22:06 PM,306 ANDERSON AVE NW,1.0,PROPERTY,N,-84.451503,33.763412,0.2331
Simple Assault,10/11/2023 1:38:25 PM,2509 DONALD LEE HOLLOWELL PKWY NW,1.0,PERSON,N,-84.467666,33.775871,0.1332
Theft From Motor Vehicle,10/11/2023 1:44:06 PM,800 GLENWOOD AVE SE,1.0,PROPERTY,N,-84.360419,33.742051,0.0999
All Other Larceny,10/11/2023 2:05:08 PM,950 MARIETTA ST NW,2.0,PROPERTY,N,-84.408215,33.776821,0.1665
Destruction/Damage/Vandalism of Property,10/11/2023 2:13:04 PM,2986 N FULTON DR NE,0.0,PROPERTY,N,-84.378158,33.836333,0.1665
Burglary/Breaking & Entering,10/11/2023 2:13:04 PM,2986 N FULTON DR NE,0.0,PROPERTY,N,-84.378158,33.836333,0.1998
Identity Theft,10/11/2023 2:14:12 PM,205 12TH ST NE,1.0,PROPERTY,N,-84.380726,33.784171,0.2331
Impersonation,10/11/2023 2:22:12 PM,370 NORTHSIDE DR NW,1.0,PROPERTY,N,-84.406707,33.765288,0.1332
Motor Vehicle Theft,10/11/2023 2:22:14 PM,3576 GLENVIEW CIR SW,1.0,PROPERTY,N,-84.50532,33.703356,0.2331
Credit Card/Automated Teller Machine Fraud,10/11/2023 2:22:17 PM,2414 HERRING RD SW,1.0,PROPERTY,N,-84.462528,33.723628,0.1665
Impersonation,10/11/2023 2:22:22 PM,3005 PEACHTREE RD NE,1.0,PROPERTY,N,-84.381152,33.836839,0.1332
Impersonation,10/11/2023 2:22:26 PM,720 RALPH MCGILL BLVD NE,1.0,PROPERTY,N,-84.36422,33.766169,0.1332
Theft of Motor Vehicle Parts or Accessories,10/11/2023 2:23:39 PM,55 MILTON AVE SE,1.0,PROPERTY,N,-84.386469,33.723915,0.0999
Theft From Motor Vehicle,10/11/2023 2:30:15 PM,2960 PIEDMONT RD NE,1.0,PROPERTY,N,-84.368127,33.835132,0.0999
Impersonation,10/11/2023 2:42:13 PM,1655 S PONCE DE LEON AVE NE,1.0,PROPERTY,N,-84.333219,33.772965,0.1332
False Pretenses/Swindle/Confidence Game,10/11/2023 2:42:18 PM,2448 CHESHIRE BRIDGE RD NE,1.0,PROPERTY,N,-84.351935,33.821713,0.1998
Impersonation,10/11/2023 2:42:23 PM,564 REED ST SE,1.0,PROPERTY,N,-84.385347,33.739232,0.1332
Burglary/Breaking & Entering,10/11/2023 2:49:31 PM,1095 TUCKER AVE SW,1.0,PROPERTY,N,-84.423401,33.724116,0.1998
Aggravated Assault,10/11/2023 3:04:47 PM,1503 HARDEE ST NE,1.0,PERSON,N,-84.338382,33.755264,0.2664
Burglary/Breaking & Entering,10/11/2023 3:16:03 PM,1027 MONROE DR NE,0.0,PROPERTY,N,-84.368084,33.782852,0.1998
Theft From Motor Vehicle,10/11/2023 3:17:36 PM,294 BOULDER PARK LN SW,1.0,PROPERTY,N,-84.503206,33.750714,0.0999
Credit Card/Automated Teller Machine Fraud,10/11/2023 3:22:21 PM,887 SPRING ST NW,1.0,PROPERTY,N,-84.388336,33.779211,0.1665
Destruction/Damage/Vandalism of Property,10/11/2023 3:22:28 PM,3285 PEACHTREE RD NE,0.0,PROPERTY,N,-84.368621,33.844364,0.1665
Impersonation,10/11/2023 3:22:37 PM,343 FAIRBURN RD NW,1.0,PROPERTY,N,-84.500336,33.764516,0.1332
Credit Card/Automated Teller Machine Fraud,10/11/2023 3:23:01 PM,3535 PEACHTREE RD NE,1.0,PROPERTY,N,-84.358703,33.851566,0.1665
Theft From Motor Vehicle,10/11/2023 3:23:48 PM,914 COLLIER RD NW,1.0,PROPERTY,N,-84.416324,33.809239,0.0999
Counterfeiting/Forgery,10/11/2023 3:24:57 PM,116 BENNETT ST NW,0.0,PROPERTY,N,-84.395981,33.811558,0.0666
